prop_01,Valid,1.651
prop_06,Valid,0.469
prop_07,Valid,0.632
prop_08,Valid,0.717
prop_09,Valid,1.816
prop_10,Valid,0.203
prop_11,Valid,0.171
prop_12,Valid,2.212
prop_13,Valid,0.254
prop_17,Valid,0.112
prop_18,Valid,0.374
prop_19,Valid,2.134
prop_21,Valid,0.421
prop_22,Valid,3.999
prop_23,Valid,2.462
prop_24,Valid,2.340
prop_25,Valid,1.390
prop_31,Valid,3.225
prop_32,Valid,2.519
prop_33,Valid,1.208
prop_34,Valid,1.610
prop_35,Valid,0.133
prop_36,Valid,0.381
prop_40,Valid,0.032
prop_41,Valid,2.439
prop_42,Valid,0.130
prop_44,Valid,0.376
prop_45,Valid,0.249
prop_46,Valid,0.037
prop_49,Valid,440.223
prop_50,Valid,38.524
prop_51,Valid,3.737
prop_55,Valid,2.528
prop_56,Valid,3590.234
prop_57,Valid,77.121
prop_58,Valid,6.513
prop_61,Valid,281.065
prop_64,Valid,36.380
prop_67,Valid,2.752
prop_79,Valid,1152.144
prop_80,Valid,2.617
prop_82,Valid,5.972
prop_83,Valid,6.365
prop_84,Valid,10.610
prop_86,Valid,3.051
prop_87,Valid,15.234
prop_88,Valid,2.423
prop_89,Valid,2.355
prop_90,Valid,3.318
